id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
Armor_001_Head,Capucha hyliana,Hylian Hood,Capuche Hylienne,하일리아의 후드,ハイリアのフード,Хайлийский капюшон,Hyliaanse kap,Cappuccio Hylia,Hylia-Kapuze,海利亚兜帽,海利亞兜帽,Capuche hylienne,Capucha hyliana,Hylian Hood
Armor_001_Lower,Pantalón hyliano,Hylian Trousers,Pantalon Hylien,하일리아의 바지,ハイリアのズボン,Хайлийские штаны,Hyliaanse broek,Pantaloni Hylia,Hylia-Hose,海利亚裤子,海利亞褲子,Pantalon hylien,Pantalón hyliano,Hylian Trousers
Armor_001_Upper,Túnica hyliana,Hylian Tunic,Tunique Hylienne,하일리아의 옷,ハイリアの服,Хайлийская туника,Hyliaans hemd,Tunica Hylia,Hylia-Gewand,海利亚服,海利亞服,Tunique hylienne,Túnica hyliana,Hylian Tunic
Armor_005_Head,Gorro del viajero,Cap of the Wild,Coiffe des landes,숨결의 용사의 모자,息吹の勇者帽子,Колпак Героя Просторов,Wildernismuts,Cappello terre selvagge,Wildnismütze,旷野之勇者帽子,曠野之勇者帽子,Coiffe des landes,Gorro de lo Salvaje,Cap of the Wild
Armor_005_Lower,Pantalón del viajero,Trousers of the Wild,Culotte des landes,숨결의 용사의 바지,息吹の勇者ズボン,Шорты Героя Просторов,Wildernisbroek,Pantaloni terre selvagge,Wildnishose,旷野之勇者裤子,曠野之勇者褲子,Culotte des landes,Pantalón de lo Salvaje,Trousers of the Wild
Armor_005_Upper,Túnica del viajero,Tunic of the Wild,Tunique des landes,숨결의 용사의 옷,息吹の勇者服,Туника Героя Просторов,Wilderniskostuum,Tunica terre selvagge,Wildnisgewand,旷野之勇者服,曠野之勇者服,Tunique des landes,Túnica de lo Salvaje,Tunic of the Wild
Armor_006_Head,Capucha zora,Zora Helm,Casque Zora,조라의 투구,ゾーラの兜,Шлем зора,Zora-helm,Elmo Zora,Zora-Helm,卓拉头盔,卓拉頭盔,Casque zora,Capucha zora,Zora Helm
Armor_006_Lower,Grebas zora,Zora Greaves,Jambières Zoras,조라의 경갑,ゾーラのすねあて,Поножи зора,Zora-scheenplaten,Gambali Zora,Zora-Beinschutz,卓拉护胫,卓拉護脛,Jambières zoras,Grebas zora,Zora Greaves
Armor_006_Upper,Armadura zora,Zora Armor,Armure Zora,조라의 갑옷,ゾーラの鎧,Доспехи зора,Zora-pantser,Armatura Zora,Zora-Rüstung,卓拉铠甲,卓拉鎧甲,Armure zora,Armadura zora,Zora Armor
Armor_008_Head,Coletero del desierto,Desert Voe Headband,Parure des sablons,사막의 머리 밴드,熱砂の鉢がね,Обруч Пустыни,Woestijnhaarband,Fascia da deserto,Wüsten-Stirnschutz,热沙护额,熱沙護額,Parure des sablons,Coletero del desierto,Desert Voe Headband
Armor_008_Lower,Grebas del desierto,Desert Voe Trousers,Pantalon des sablons,사막의 바지,熱砂のズボン,Штаны Пустыни,Woestijnbroek,Pantaloni da deserto,Wüsten-Beinschutz,热沙裤子,熱沙褲子,Pantalon des sablons,Grebas del desierto,Desert Voe Trousers
Armor_008_Upper,Hombrera del desierto,Desert Voe Spaulder,Épaulière des sablons,사막의 어깨 보호대,熱砂の肩当て,Наплечник Пустыни,Woestijnarmstuk,Spallaccio da deserto,Wüsten-Schulterschutz,热沙护肩,熱沙護肩,Épaulière des sablons,Hombrera del desierto,Desert Voe Spaulder
Armor_009_Head,Plumas orni,Snowquill Headdress,Bijou à plumes,방한 날개 장식,雪よけの羽飾り,Зимний талисман,Rito-veren,Piume antineve,Anti-Schnee-Federn,防雪羽饰,防雪羽飾,Bijou à plumes,Plumas orni,Snowquill Headdress
Armor_009_Lower,Pantalón orni,Snowquill Trousers,Pantalon duveteux Piaf,리토의 날개 바지,リトの羽毛ズボン,Зимние штаны,Rito-broek,Pantaloni Rito,Orni-Hose,利特的羽绒裤,利特的羽絨褲,Pantalon duveteux piaf,Pantalón orni,Snowquill Trousers
