id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
Weapon_Shield_001,Escudo de madera,Wooden Shield,Bouclier en bois,나무 방패,木の盾,Деревянный щит,Houten schild,Scudo di legno,Holzschild,木盾,木盾,Bouclier en bois,Escudo de madera,Wooden Shield
Weapon_Shield_002,Escudo de soldado,Soldier’s Shield,Bouclier de soldat,병사의 방패,兵士の盾,Боевой щит,Soldatenschild,Scudo da soldato,Soldatenschild,士兵盾,士兵盾,Bouclier de soldat,Escudo de soldado,Soldier’s Shield
Weapon_Shield_003,Escudo de caballero,Knight's Shield,Bouclier de chevalier,기사의 방패,騎士の盾,Рыцарский щит,Ridderschild,Scudo da cavaliere,Ritterschild,骑士盾,騎士盾,Bouclier de chevalier,Escudo de caballero,Knight's Shield
Weapon_Shield_004,Escudo boko,Boko Shield,Bouclier boko,보코방패,ボコ盾,Бокощит,Boko-schild,Scudo boblin,Bokschild,波克盾,波克盾,Bouclier boko,Escudo boko,Boko Shield
Weapon_Shield_005,Escudo boko punzante,Spiked Boko Shield,Bouclier à pointes boko,가시 보코방패,トゲボコ盾,Колючий бокощит,Boko-bottenschild,Scudo boblin puntuto,Stachel-Bokschild,尖刺波克盾,尖刺波克盾,Bouclier à pointes boko,Escudo boko punzante,Spiked Boko Shield
Weapon_Shield_006,Escudo boko de dragón,Dragonbone Boko Shield,Draco-bouclier boko,용골 보코방패,竜骨ボコ盾,Драконий бокощит,Boko-drakenschild,Dragoscudo boblin,Knochen-Bokschild,龙骨波克盾,龍骨波克盾,Draco-bouclier boko,Escudo boko de dragón,Dragonbone Boko Shield
Weapon_Shield_007,Escudo lizal,Lizal Shield,Bouclier lézal,리잘실드,リザルシールド,Заврощит,Lizal-schild,Scudo lizal,Echsalschild,蜥蜴盾,蜥蜴盾,Bouclier lézal,Escudo lizal,Lizal Shield
Weapon_Shield_008,Escudo lizal reforzado,Reinforced Lizal Shield,Bouclier lézal robuste,강화 리잘실드,強化リザルシールド,Крепкий заврощит,Verstevigd Lizal-schild,Scudo lizal rinforzato,Starker Echsalschild,强力蜥蜴盾,強力蜥蜴盾,Bouclier lézal robuste,Escudo lizal reforzado,Reinforced Lizal Shield
Weapon_Shield_009,Escudo lizal de acero,Steel Lizal Shield,Bouclier lézal en acier,강철 리잘실드,鋼鉄リザルシールド,Стальной заврощит,Stalen Lizal-schild,Scudo lizal d'acciaio,Stahl-Echsalschild,钢铁蜥蜴盾,鋼鐵蜥蜴盾,Bouclier lézal en acier,Escudo lizal de acero,Steel Lizal Shield
Weapon_Shield_016,Escudo de centaleón,Lynel Shield,Bouclier de Centaléo,라이넬의 방패,ライネルの盾,Щит левра,Lynel-schild,Scudo lynel,Leunenschild,莱尼尔盾,萊尼爾盾,Bouclier de Lynel,Escudo de centaleón,Lynel Shield
Weapon_Shield_017,Escudo bestial,Mighty Lynel Shield,Bouclier du roi bestial,야수왕의 방패,獣王の盾,Щит могучего левра,Machtig Lynel-schild,Scudo bestiale,Bestienschild,兽王盾,獸王盾,Bouclier du roi bestial,Escudo bestial,Mighty Lynel Shield
Weapon_Shield_018,Escudo colosal,Savage Lynel Shield,Bouclier du dieu bestial,야수신의 방패,獣神の盾,Щит ужасного левра,Woest Lynel-schild,Scudo bestiale divino,Chimärenschild,兽神盾,獸神盾,Bouclier du dieu bestial,Escudo colosal,Savage Lynel Shield
Weapon_Shield_021,Escudo oxidado,Rusty Shield,Bouclier rouillé,녹슨 방패,錆びた盾,Ржавый щит,Verroest schild,Scudo arrugginito,Verrosteter Schild,生锈的盾,生鏽的盾,Bouclier rouillé,Escudo oxidado,Rusty Shield
Weapon_Shield_022,Escudo real,Royal Shield,Bouclier royal,왕가의 방패,王家の盾,Королевский щит,Koninklijk schild,Scudo reale,Königsschild,王族盾,王族盾,Bouclier royal,Escudo real,Royal Shield
Weapon_Shield_023,Escudo del bosque,Forest Dweller's Shield,Bouclier des sylvains,숲에 사는 자의 방패,森人の盾,Лесной щит,Woudschild,Scudo silvano,Waldschild,森民盾,森民盾,Bouclier des sylvains,Escudo del bosque,Forest Dweller's Shield
Weapon_Shield_025,Escudo zora,Zora Shield,Bouclier Zora,조라의 방패,ゾーラの盾,Щит зора,Zora-schild,Scudo Zora,Zora-Schild,卓拉盾,卓拉盾,Bouclier zora,Escudo zora,Zora Shield
Weapon_Shield_026,Escudo gerudo,Gerudo Shield,Bouclier Gerudo,겔드의 방패,ゲルドの盾,Щит герудо,Gerudo-schild,Scudo Gerudo,Gerudo-Schild,格鲁德盾,格魯德盾,Bouclier gerudo,Escudo gerudo,Gerudo Shield
Weapon_Shield_030,Escudo hyliano,Hylian Shield,Bouclier d'Hylia,하일리아의 방패,ハイリアの盾,Хайлийский щит,Hyliaans schild,Scudo Hylia,Hylia-Schild,海利亚盾,海利亞盾,Bouclier d'Hylia,Escudo hyliano,Hylian Shield
Weapon_Shield_031,Escudo de conejo,Hunter's Shield,Bouclier lapins,토끼 문양 방패,ウサギ柄の盾,Охотничий щит,Konijnenschild,Scudo del coniglio,Hasenschild,兔纹盾,兔紋盾,Bouclier lapins,Escudo de liebre,Hunter's Shield
Weapon_Shield_032,Escudo de pez,Fisherman's Shield,Bouclier poisson,물고기 문양 방패,魚柄の盾,Рыбацкий щит,Vissersschild,Scudo del pescatore,Fischschild,鱼纹盾,魚紋盾,Bouclier poisson,Escudo de pez,Fisherman's Shield
Weapon_Shield_033,Escudo de la guardia,Royal Guard's Shield,Bouclier de garde royal,근위의 방패,近衛の盾,Гвардейский щит,Sheikah-schild,Scudo da guardia reale,Gardeschild,近卫盾,近衛盾,Bouclier de garde royal,Escudo de la guardia,Royal Guard's Shield
Weapon_Shield_034,Escudo animal,Emblazoned Shield,Bouclier faune,짐승 문양 방패,ケモノ柄の盾,Расписной щит,Wapenschild,Scudo animalesco,Tierschild,兽纹盾,獸紋盾,Bouclier faune,Escudo animal,Emblazoned Shield
Weapon_Shield_035,Escudo de viajero,Traveler's Shield,Bouclier de voyageur,여행자의 방패,旅人の盾,Походный щит,Reizigersschild,Scudo da viandante,Reiseschild,旅人盾,旅人盾,Bouclier de voyageur,Escudo de viajero,Traveler's Shield
Weapon_Shield_036,Escudo del sol,Radiant Shield,Bouclier du soleil,태양의 방패,太陽の盾,Щит Солнца,Dageraadschild,Scudo solare,Sonnenschild,太阳盾,太陽盾,Bouclier du soleil,Escudo del sol,Radiant Shield
Weapon_Shield_037,Escudo de la ira,Daybreaker,Bouclier des sept joyaux,칠보의 방패,七宝の盾,Сияющая Эгида,Zonneschild,Scudo dei tesori,Schatzschild,七宝盾,七寶盾,Bouclier des sept joyaux,Escudo de la ira,Daybreaker
Weapon_Shield_040,Tapa de cacerola,Pot Lid,Couvercle de marmite,냄비 뚜껑,ナベのフタ,Крышка,Deksel,Coperchio,Topfdeckel,锅盖,鍋蓋,Couvercle de marmite,Tapa de cacerola,Pot Lid
