id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
Weapon_Lsword_001,Mandoble de viajero,Traveler's Claymore,Espadon de voyageur,여행자의 양손검,旅人の両手剣,Походный клеймор,Reizigersgrootzwaard,Spadone da viandante,Reise-Zweihänder,旅人双手剑,旅人雙手劍,Espadon de voyageur,Mandoble de viajero,Traveler's Claymore
Weapon_Lsword_002,Mandoble de soldado,Soldier's Claymore,Espadon de soldat,병사의 양손검,兵士の両手剣,Боевой клеймор,Soldatengrootzwaard,Spadone da soldato,Soldaten-Zweihänder,士兵双手剑,士兵雙手劍,Espadon de soldat,Mandoble de soldado,Soldier's Claymore
Weapon_Lsword_003,Mandoble de caballero,Knight's Claymore,Espadon de chevalier,기사의 양손검,騎士の両手剣,Рыцарский клеймор,Tweehandig ridderzwaard,Spadone da cavaliere,Ritter-Zweihänder,骑士双手剑,騎士雙手劍,Espadon de chevalier,Mandoble de caballero,Knight's Claymore
Weapon_Lsword_019,Hueso de moblin,Moblin Arm,Os de Moblin,모리블린의 뼈,モリブリンの骨,Лапа моблина,Moblin-arm,Braccio di stalgrublin,Moblin-Knochen,莫力布林之骨,莫力布林之骨,Os de Moblin,Brazo de moblin,Moblin Arm
Weapon_Lsword_020,Mandoble oxidado,Rusty Claymore,Espadon rouillé,녹슨 양손검,錆びた両手剣,Ржавый клеймор,Verroest slagzwaard,Spadone arrugginito,Rostiger Zweihänder,生锈的双手剑,生鏽的雙手劍,Espadon rouillé,Mandoble oxidado,Rusty Claymore
Weapon_Lsword_024,Mandoble real,Royal Claymore,Espadon royal,왕가의 양손검,王家の両手剣,Королевский клеймор,Koninklijk slagzwaard,Spadone reale,Königs-Zweihänder,王族双手剑,王族雙手劍,Espadon royal,Mandoble real,Royal Claymore
Weapon_Lsword_027,Mandoble zora,Zora Longsword,Longue épée Zora,조라의 대검,ゾーラの大剣,Длинный меч зора,Zora-grootzwaard,Spadone Zora,Zora-Großschwert,卓拉大剑,卓拉大劍,Longue épée zora,Mandoble zora,Zora Longsword
Weapon_Lsword_029,Mandoble gerudo,Gerudo Claymore,Espadon Gerudo,겔드의 양손검,ゲルドの両手剣,Клеймор герудо,Gerudo-grootzwaard,Spadone Gerudo,Gerudo-Zweihänder,格鲁德双手剑,格魯德雙手劍,Espadon gerudo,Mandoble gerudo,Gerudo Claymore
Weapon_Lsword_036,Trozarrocas,Cobble Crusher,Casse-pierre,돌 크러셔,石打ち,Щебнерез,Steenwerper,Battirocce,Steinspalter,劈石剑,劈石劍,Casse-pierre,Lanzarrocas,Cobble Crusher
Weapon_Lsword_038,Remo,Boat Oar,Rame,배의 노,船のオール,Весло,Roeispaan,Remo,Ruder,船桨,船槳,Rame,Remo,Boat Oar
Weapon_Lsword_041,Mandoble del vigilante,Eightfold Longblade,Sabre de la défiance,잔심의 장도,残心の太刀,Восьмеричный меч,Achtvoudige nodachi,Katana della prontezza,Zanshin-Langschwert,戒心长刀,戒心長刀,Sabre de la défiance,Mandoble del vigilante,Eightfold Longblade
Weapon_Lsword_045,Azadón,Farming Hoe,Pioche,밭의 괭이,畑のクワ,Тяпка,Schoffel,Zappa,Hacke,农用锄头,農用鋤頭,Houe,Azada,Farming Hoe
