id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
Animal_Insect_A,Rana escurridiza,Hot-Footed Frog,Grenouille tempo,고고개구리,ゴーゴーガエル,Прыть-лягушка,Sprintkikker,Rana lesta,Spurtkröte,速速青蛙,速速青蛙,Grenouille tempo,Rana rauda,Hot-Footed Frog
Animal_Insect_AA,Escarabajo obrero,Energetic Rhino Beetle,Scarabée enduro,원기장수풍뎅이,ガンバリカブト,Бодрый жук,Krachtkever,Scarabeo aitante,Ausdauerkäfer,精力独角仙,精力獨角仙,Scarabée enduro,Escarabajo vigoroso,Energetic Rhino Beetle
Animal_Insect_AB,Mariposa chimenea,Smotherwing Butterfly,Papillon ignifus,방염호랑나비,ヒケシアゲハ,Пожарная бабочка,Doofvlinder,Farfalla ignifuga,Löschflügler,耐火凤蝶,耐火鳳蝶,Papillon ignifus,Mariposa ignífuga,Smotherwing Butterfly
Animal_Insect_AG,Rana escaladora,Sticky Frog,Grenouille adhésio,접착개구리,ハリツキガエル,Цепкая квакша,Kleefkikker,Rana scalatrice,Klammerkröte,贴贴青蛙,貼貼青蛙,Grenouille adhésio,Rana adherente,Sticky Frog
Animal_Insect_AH,Lagarto trepador,Sticky Lizard,Lézard adhésio,접착도마뱀,ハリツキトカゲ,Цепкая ящерица,Kleefhagedis,Lucertola scalatrice,Klammerechse,贴贴蜥蜴,貼貼蜥蜴,Lézard adhésio,Lagarto adherente,Sticky Lizard
Animal_Insect_AI,Luciérnaga de las tinieblas,Deep Firefly,Luciole de l'ombre,어둠반딧불이,ヤミホタル,Темнячок,Vale vuurvlieg,Lucciola d'ombra,Düsterwürmchen,暗萤火虫,闇螢火蟲,Luciole de l'ombre,Luciérnaga de las tinieblas,Deep Firefly
Animal_Insect_B,Rana duradera,Tireless Frog,Grenouille vigueur,활력개구리,ガッツガエル,Живучая лягушка,Boostkikker,Rana tosta,Fitkröte,毅力青蛙,毅力青蛙,Grenouille vigueur,Rana briosa,Tireless Frog
Animal_Insect_C,Libélula del frescor,Cold Darner,Libellule glagla,썰렁왕잠자리,ヒンヤリヤンマ,Морозная стрекоза,Sneeuwlibel,Libellula del gelo,Frostlibelle,冰冷蜻蜓,冰冷蜻蜓,Libellule glagla,Libélula gélida,Cold Darner
Animal_Insect_E,Luciérnaga del sosiego,Sunset Firefly,Luciole de la sérénité,고요반딧불이,シズカホタル,Тихий светлячок,Stiltevuurvlieg,Lucciola silente,Schleichwürmchen,静静萤火虫,靜靜螢火蟲,Luciole de la sérénité,Luciérnaga sigilosa,Sunset Firefly
Animal_Insect_F,Hada,Fairy,Fée,요정,妖精,Фея,Fee,Fata,Fee,妖精,妖精,Fée,Hada,Fairy
Animal_Insect_G,Escarabajo recio,Bladed Rhino Beetle,Scarabée lame,칼날장수풍뎅이,ツルギカブト,Клинковый жук,Zwaardneushoornkever,Scarabeo spadaccino,Schwertkäfer,大剑独角仙,大劍獨角仙,Scarabée lame,Escarabajo recio,Bladed Rhino Beetle
Animal_Insect_H,Grillo vagabundo,Restless Cricket,Sauterelle enduro,원기메뚜기,ガンバリバッタ,Бодрый сверчок,Energiesprinkhaan,Cavalletta vigor,Ausdauerschrecke,精力蚱蜢,精力蚱蜢,Sauterelle enduro,Grillo vigoroso,Restless Cricket
Animal_Insect_I,Libélula nimbo,Electric Darner,Libellule volt,찌릿찌릿왕잠자리,ビリビリヤンマ,Грозовая стрекоза,Schoklibel,Libellula saetta,Zitterlibelle,酥麻蜻蜓,酥麻蜻蜓,Libellule volt,Libélula electro,Electric Darner
Animal_Insect_M,Lagarto milvidas,Hearty Lizard,Lézard max,맥스도마뱀,マックストカゲ,Чудо-ящерица,Hartjeshagedis,Lucertola vivax,Maxi-Echse,生命蜥蜴,生命蜥蜴,Lézard max,Lagarto vivaz,Hearty Lizard
Animal_Insect_N,Mariposa invernal,Winterwing Butterfly,Papillon glagla,썰렁호랑나비,ヒンヤリアゲハ,Морозная бабочка,Sneeuwvlinder,Farfalla del gelo,Frostflügler,冰冷凤蝶,冰冷鳳蝶,Papillon glagla,Mariposa gélida,Winterwing Butterfly
Animal_Insect_P,Escarabajo pétreo,Rugged Rhino Beetle,Scarabée armo,갑옷장수풍뎅이,ヨロイカブト,Латный жук,Harnaskever,Scarabeo corazzato,Rüstungskäfer,铠甲独角仙,鎧甲獨角仙,Scarabée armo,Escarabajo robusto,Rugged Rhino Beetle
Animal_Insect_Q,Mariposa estival,Summerwing Butterfly,Papillon piment,따끈따끈호랑나비,ポカポカアゲハ,Жар-бабочка,Vlamvlinder,Farfalla del sole,Glutflügler,暖暖凤蝶,暖暖鳳蝶,Papillon piment,Mariposa ígnea,Summerwing Butterfly
Animal_Insect_R,Mariposa nubarrón,Thunderwing Butterfly,Papillon volt,찌릿찌릿호랑나비,ビリビリアゲハ,Грозовая бабочка,Bliksemvlinder,Farfalla saetta,Zitterflügler,酥麻凤蝶,酥麻鳳蝶,Papillon volt,Mariposa electro,Thunderwing Butterfly
Animal_Insect_S,Lagarto corretón,Hightail Lizard,Lézard tempo,고고도마뱀,ゴーゴートカゲ,Прыть-ящерица,Haasthagedis,Lucertola velox,Spurtechse,速速蜥蜴,速速蜥蜴,Lézard tempo,Lagarto raudo,Hightail Lizard
Animal_Insect_T,Libélula cálida,Warm Darner,Libellule piment,따끈따끈왕잠자리,ポカポカヤンマ,Жар-стрекоза,Vuurlibel,Libellula del sole,Glutlibelle,暖暖蜻蜓,暖暖蜻蜓,Libellule piment,Libélula ígnea,Warm Darner
Animal_Insect_X,Lagarto humero,Fireproof Lizard,Lézard ignifus,방염도마뱀,ヒケシトカゲ,Пожарная ящерица,Doofhagedis,Lucertola focus,Löschechse,耐火蜥蜴,耐火蜥蜴,Lézard ignifus,Lagarto ignífugo,Fireproof Lizard
BeeHome,Miel de abeja,Courser Bee Honey,Rayon de miel enduro,원기벌의 벌꿀,ガンバリバチのハチミツ,Мед бодрых пчел,Krachthoning,Miele di ape briosa,Ausdauerhonig,精力蜂的蜂蜜,精力蜂的蜂蜜,Rayon de miel enduro,Miel de vigor,Courser Bee Honey
BombFruit,Flor bomba,Bomb Flower,Fleur bombe,폭탄꽃,バクダン花,Бомбоцвет,Bombloem,Fiore bomba,Donnerblume,炸弹花,炸彈花,Fleur bombe,Flor bomba,Bomb Flower
ConfusionFruit,Flor aturdidora,Muddle Bud,Fleur de confusion,혼란꽃,コンラン花,Конфуксия,Verwarbloem,Fiore frastornante,Irrknospe,混乱花,混亂花,Fleur de confusion,Flor aturdidora,Muddle Bud
ElectricalFruit,Fruto eléctrico,Shock Fruit,Fruit de foudre,전기 열매,電気の実,Грозофрукт,Bliksemvrucht,Frutto elettrico,Elektrofrucht,电流果,電流果,Fruit de foudre,Fruto eléctrico,Shock Fruit
FireFruit,Fruto ígneo,Fire Fruit,Fruit de feu,화염의 열매,火炎の実,Огнефрукт,Vuurvrucht,Frutto igneo,Feuerfrucht,火焰果,火焰果,Fruit de feu,Fruto ígneo,Fire Fruit
FldObj_Pinecone_A_01,Piñón hyliano,Hylian Pine Cone,Pomme de pin d'Hyrule,하이랄솔방울,ハイラルボックリ,Хайрульская шишка,Hyrule-dennenappel,Pigna di Hyrule,Hyrule-Tannenzapfen,海拉鲁球果,海拉魯毬果,Pomme de pin d'Hyrule,Piña hyliana,Hylian Pine Cone
