id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
Npc_HatenoVillage010,Abbun,Leop,Opar,레오프,ツワブキ,Фарф,Farf,Tsuwabuki,Farvel,茨瓦布奇,茨瓦布奇,Opar,Abbun,Leop
Npc_kokiri009,Acaz,Oaki,Azettis,토치,トッチー,Оки,Oaki,Nacardio,Fraxinus,拓奇,拓奇,Azettis,Acaz,Oaki
Npc_oasis007,Adine,Buliara,Beterah,뷰러,ビューラ,Белла,Buliara,Biulla,Bylla,碧优拉,碧優拉,Beterah,Adine,Buliara
Npc_NewsPaper006,Aeni,Bluni,Chloa,아이야,アイヤ,Ятлика,Bluni,Kelia,Barta,艾雅,艾雅,Chloa,Aeni,Bluni
Npc_BaseCamp_AncientAssistant001,Agaimo,Gagaim,Métap,가가모,ガガーモ,Аплекс,Gagaim,Galgam,Taplexis,贾贾莫,賈賈莫,Métap,Agaimo,Gagaim
Npc_BaseCamp_Gerudo006,Ageen,Bandaga,Dyod,베디지,バテジー,Бинта,Bandaga,Bendaga,Banda,巴铁吉,巴鐵吉,Dyod,Ageen,Bandaga
Npc_HatenoVillage011,Agen,Worten,Douveth,워튼,ワターゲン,Вортен,Worten,Worten,Watargo,瓦太庚,瓦太庚,Douveth,Agen,Worten
Npc_OasisGoron_001,Agor,Lyndae,Kavatlin,가트린,ガトリン,Гатлин,Lyndae,Gatlin,Liena,嘉托林,嘉託林,Kavatlin,Agor,Lyndae
Npc_oasis043,Aine,Ardin,Araj,아쥬,アージュ,Ардин,Ardin,Aju,Ardin,奥居,奧居,Araj,Aine,Ardin
Npc_oasis001,Aisha,Isha,Azasha,아이샤,アイシャ,Аиша,Isha,Aisha,Aisha,艾夏,艾夏,Azasha,Aisha,Isha
Npc_TabanthaRoad_AncientAssistant,Aiuga,Juga,Laurine,카슈아,ガジュア,Дубни,Juga,Gajua,Gunsel,盖茱亚,蓋茱亞,Laurine,Aiuga,Juga
Npc_BaseCamp012,Ajam,Jambo,Banjam,에이잔,エージャン,Лето,Jambo,Banjam,Banjam,艾姜,艾姜,Banjam,Ajam,Jambo
Npc_LakeSideHatago005,Akamp,Kampo,Campo,캄포,カンポ,Кампо,Kampo,Kampow,Kampo,康珀,康珀,Campo,Akamp,Kampo
Npc_HyruleWestHatago004,Akrah,Akrah,Bomgo,오라크,オラク,Акрах,Akrah,Orak,Orak,奥拉科,奧拉科,Bomgo,Akrah,Akrah
Npc_HatenoVillage033,Alaza,Tamana,Chuflor,타마나,タマナ,Тамана,Tamana,Tamana,Tamana,泰麦娜,泰麥娜,Chuflor,Alaza,Tamana
NPC_oasis004_fr02,Alima,Flaxel,Linum,아마니,アマニ,Лена,Flaxel,Amani,Amani,阿迈尼,阿邁尼,Linum,Olim,Flaxel
