id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
CaveMasterMedal,Emblema de fantasmo,Bubbul Gem,Cristal d'Elusis,마요이의 유실물,マヨイの落とし物,Дар пещерной пипы,Bubbul-kikkerkristal,Emblema di rospettro,Mayoi-Signum,魔犹伊的遗失物,魔猶伊的遺失物,Cristal d'Elusis,Emblema de fantasmo,Bubbul Gem
Energy_Material_01,Cristal energético zonnan,Crystallized Charge,Cristal d'énergie Soneau,조나우 에너지 결정,ゾナウエネルギーの結晶,Зонарокристалл,Zonaniumkristal,Cristallo di energia Zonau,Sonau-Energiekristall,左纳乌能源结晶,左納烏能源結晶,Cristal d'énergie soneau,Cristal energético zonnan,Crystallized Charge
Energy_Material_03,Gran cristal energético zonnan,Large Crystallized Charge,Grand cristal d'énergie Soneau,커다란 조나우 에너지 결정,ゾナウエネルギーの大結晶,Крупный зонарокристалл,Groot zonaniumkristal,Cristallo di energia Zonau XL,Großer Sonau-Energiekristall,左纳乌能源大结晶,左納烏能源大結晶,Grand cristal d'énergie soneau,Gran cristal energético zonnan,Large Crystallized Charge
Energy_Material_04,Megacristal energético zonnan,Huge Crystallized Charge,Énorme cristal d'énergie Soneau,거대한 조나우 에너지 결정,ゾナウエネルギーの特大結晶,Огромный зонарокристалл,Reuzenzonaniumkristal,Cristallo di energia Zonau XXL,Enormer Sonau-Energiekristall,左纳乌能源特大结晶,左納烏能源特大結晶,Énorme cristal d'énergie soneau,Megacristal energético zonnan,Huge Crystallized Charge
GameRomHorseReins_01,Brida de viajero,Traveler's Bridle,Licou de voyage,여행자의 고삐,旅人の手綱,Походная узда,Reizigershoofdstel,Briglie da viandante,Reisezaumzeug,旅人缰绳,旅人韁繩,Filet de voyage,Brida de viajero,Traveler's Bridle
GameRomHorseReins_02,Brida real,Royal Bridle,Licou royal,왕가의 고삐,王家の手綱,Королевская узда,Koninklijk hoofdstel,Briglie reali,Königszaumzeug,王族缰绳,王族韁繩,Filet royal,Brida real,Royal Bridle
GameRomHorseReins_03,Brida de caballero,Knight's Bridle,Licou martial,기사의 고삐,騎士の手綱,Рыцарская узда,Riddershoofdstel,Briglie da cavaliere,Ritterzaumzeug,骑士缰绳,騎士韁繩,Filet martial,Brida de caballero,Knight's Bridle
GameRomHorseReins_04,Brida monstruosa,Monster Bridle,Licou monstrueux,몬스터의 고삐,マモノの手綱,Монстроузда,Monsterhoofdstel,Briglie da mostro,Monsterzaumzeug,怪物缰绳,怪物韁繩,Filet monstrueux,Brida monstruosa,Monster Bridle
GameRomHorseReins_05,Brida elegante,Extravagant Bridle,Licou d'apparat,화려한 고삐,ゴージャスな手綱,Роскошная узда,Paradehoofdstel,Briglie cerimoniali,Schmuckzaumzeug,奢华缰绳,奢華韁繩,Filet d'apparat,Brida elegante,Extravagant Bridle
GameRomHorseSaddle_01,Silla de viajero,Traveler's Saddle,Selle de voyage,여행자의 안장,旅人のくら,Походное седло,Reizigerszadel,Sella da viandante,Reisesattel,旅人马鞍,旅人馬鞍,Selle de voyage,Silla de viajero,Traveler's Saddle
GameRomHorseSaddle_02,Silla real,Royal Saddle,Selle royale,왕가의 안장,王家のくら,Королевское седло,Koninklijk zadel,Sella reale,Königssattel,王族马鞍,王族馬鞍,Selle royale,Silla real,Royal Saddle
GameRomHorseSaddle_03,Silla de caballero,Knight's Saddle,Selle martiale,기사의 안장,騎士のくら,Рыцарское седло,Ridderzadel,Sella da cavaliere,Rittersattel,骑士马鞍,騎士馬鞍,Selle martiale,Silla de caballero,Knight's Saddle
GameRomHorseSaddle_04,Silla monstruosa,Monster Saddle,Selle monstrueuse,몬스터의 안장,マモノのくら,Монстроседло,Monsterzadel,Sella da mostro,Monstersattel,怪物马鞍,怪物馬鞍,Selle monstrueuse,Silla monstruosa,Monster Saddle
GameRomHorseSaddle_05,Silla elegante,Extravagant Saddle,Selle d'apparat,화려한 안장,ゴージャスなくら,Роскошное седло,Paradezadel,Sella cerimoniale,Schmucksattel,奢华马鞍,奢華馬鞍,Selle d'apparat,Silla elegante,Extravagant Saddle
GameRomHorseSaddle_07,Arnés de carga,Towing Harness,Harnais d'attelage,견인 하네스,ひっぱりハーネス,Тяговая сбруя,Sleeptuig,Bardatura da tiro,Geschirr,牵引挽具,牽引挽具,Harnais d'attelage,Arnés de tiro,Towing Harness
Item_StableHostelAccommodationCoupon_A,Cupón por una estancia,Sleepover Ticket,Bon pour une nuit gratuite,마구간 숙박권,馬宿 宿泊券,Конюшенный купон,Bedbon,Buono dello stallaggio,Übernachtungsgutschein,驿站住宿券,驛站住宿券,Bon pour une nuit gratuite,Vale por una estancia,Sleepover Ticket
KeySmall,Llave pequeña,Small Key,Petite clé,작은 열쇠,小さな鍵,Маленький ключ,Kleine sleutel,Piccola chiave,Kleiner Schlüssel,小钥匙,小鑰匙,Petite clé,Llave pequeña,Small Key
MinusRupee_00,Poe,Poe,Esprit,포우,ポゥ,Духат,Poe,Poo,Irrlicht,魄,魄,Esprit,Poe,Poe
MinusRupee_01,Poe grande,Large Poe,Grand esprit,데그포우,デグポゥ,Большой духат,Grote Poe,Poo grosso,Irrlicht (groß),大魄,大魄,Grand esprit,Poe grande,Large Poe
MinusRupee_02,Poe enorme,Grand Poe,Esprit démesuré,그랑포우,グランポゥ,Огромный духат,Enorme Poe,Poo enorme,Irrlicht (sehr groß),特大魄,特大魄,Esprit démesuré,Poe enorme,Grand Poe
Obj_AutoBuilderDraftAssassin_00,Esquemas del clan Yiga,Yiga Schematic,Plan d'assemblage Yiga,이가단의 설계도,イーガ団の設計図,Чертеж клана Ига,Yiga-schetsboek,Schema Yiga,Yiga-Bauplan,依盖队设计图,依蓋隊設計圖,Plan d'assemblage yiga,Esquemas del clan Yiga,Yiga Schematic
Obj_AutoBuilderDraft_00,Grabado esquemático,Schema Stone,Gravure d'assemblage,설계도 석판,設計図の石板,Плитка с чертежом,Blauwdruktablet,Lastra schema,Bauplan-Steinplatte,设计图石板,設計圖石板,Gravure d'assemblage,Grabado esquemático,Schema Stone
Obj_Camera,Cámara,Camera,Appareil photo,사진기,ウツシエ,Фотоаппарат,Foto's,Scattaimmagini,Fotomodul,照相机,照相機,Appareil photo,Cámara de fotos,Camera
Obj_CaveWellHonor_00,Trofeo de espeleólogo,All's Well,Trophée de l'expert des puits,우물 순례 기념품,井戸巡りの記念品,Награда за изучение колодцев,Puttenbeloning,Premio dei pozzi,Brunnenbelohnung,周游列井的纪念品,周遊列井的記念品,Trophée de l'expert des puits,Trofeo de espeleólogo,All's Well
Obj_CheckPointHonor_00,Insignia de la luz,Dispelling Darkness Medal,Emblème de la lumière,어둠을 극복한 증표,闇を克服した証,Награда за рассеивание тьмы,Blijk van het verdrijven van de duisternis,Simbolo della vittoria sull'oscurità,Lichtbringer-Orden,通过黑暗的证明,通過黑闇的證明,Emblème de la lumière,Insignia de la luz,Dispelling Darkness Medal
Obj_DRStone_Get,Tableta de Prunia,Purah Pad,Tablette Pru'ha,프루아패드,プルアパッド,Пураншет,Purah-tablet,Tavoletta di Pruna,PurahPad,普尔亚平板,普爾亞平板,Tablette Pru'ha,Tableta de Prunia,Purah Pad
Obj_DefeatHonor_00,Medalla de talus,Stone Talus Monster Medal,Médaille (Lithorok),바위록 토벌 훈장,イワロック討伐の勲章,Награда за каменного глыбника,Steen-Talus-medaille,Medaglia sassorok,Iwarok-Medaille,讨伐岩石巨人勋章,討伐岩石巨人勳章,Médaille (Lithorok),Medalla de petrarok,Stone Talus Monster Medal
Obj_DefeatHonor_01,Medalla de hinox,Hinox Monster Medal,Médaille (Hinox),히녹스 토벌 훈장,ヒノックス討伐の勲章,Награда за хинокса,Hinox-medaille,Medaglia hinox,Hinox-Medaille,讨伐西诺克斯勋章,討伐西諾克斯勳章,Médaille (Hinox),Medalla de hinox,Hinox Monster Medal
Obj_DefeatHonor_02,Medalla de moldora,Molduga Monster Medal,Médaille (Moldarquor),몰드래고 토벌 훈장,モルドラジーク討伐の勲章,Награда за молдору,Molduga-medaille,Medaglia moldenottera,Moldora-Medaille,讨伐莫尔德拉吉克勋章,討伐莫爾德拉吉克勳章,Médaille (Moldarquor),Medalla de moldora,Molduga Monster Medal
Obj_DefeatHonor_03,Medalla de anuronte,Frox Monster Medal,Médaille (Gigatracien),데그가마 토벌 훈장,デグガーマ討伐の勲章,Награда за дегугарму,Frox-medaille,Medaglia granfibio,Gigama-Medaille,讨伐巨霸迦马勋章,討伐巨霸迦馬勳章,Médaille (Gigatracien),Medalla de anuronte,Frox Monster Medal
Obj_DefeatHonor_04,Medalla de gólem cúbico,Flux Construct Monster Medal,Médaille (Golemax),블록 골렘 토벌 훈장,ブロックゴーレム討伐の勲章,Награда за блокоголема,Blokzonoïde-medaille,Medaglia golemax,Alpha-Blockkonstrukt-Medaille,讨伐方块魔像勋章,討伐方塊魔像勳章,Médaille (Golemax),Medalla de gólem cúbico,Flux Construct Monster Medal
Obj_DefeatHonor_05,Medalla de gleeok,Gleeok Monster Medal,Médaille (Griock),그리오크 토벌 훈장,グリオーク討伐の勲章,Награда за глиока,Gleeok-medaille,Medaglia griock,Griock-Medaille,讨伐古栗欧克勋章,討伐古慄歐克勳章,Médaille (Griock),Medalla de griock,Gleeok Monster Medal
Obj_DungeonClearSeal,Orbe luminoso,Light of Blessing,Lueur bienfaisante,축복의 빛,祝福の光,Частица света,Lichtbol,Sfera della benedizione,Segenslicht,祝福之光,祝福之光,Lueur bienfaisante,Orbe luminoso,Light of Blessing
Obj_EnergyUtuwa_A_01,Célula energética,Energy Well,Cellule de batterie,추가 배터리,追加バッテリー,Энергорасширитель,Energiecel,Cellula energetica,Zusatzbatterie,附加电池,附加電池,Cellule de batterie,Célula energética,Energy Well
Obj_HeartUtuwa_A_01,Contenedor de corazón,Heart Container,Réceptacle de cœur,생명의 그릇,ハートの器,Капсула сердца,Extra hartje,Portacuore,Herzcontainer,心之容器,心之容器,Réceptacle de cœur,Contenedor de corazón,Heart Container
Obj_HiddenScroll_00,Manual de manipulación terrestre,Earthwake Manual,Manuscrit du choc tellurique,토둔서,土遁の書,Книга геомагии,Aardpilaarhandboek,Manuale di geomanipolazione,Erdmanipulation-Anleitung,土遁之书,土遁之書,Manuscrit du choc tellurique,Manual de manipulación terrestre,Earthwake Manual
Obj_KorokNuts,Semilla de kolog,Korok Seed,Noix Korogu,코로그 열매,コログのミ,Корокское семечко,Korok-zaadje,Seme Korogu,Krog-Samen,克洛格的果实,克洛格的果實,Noix korogu,Semilla de kolog,Korok Seed
Obj_Photo_Animal,Foto de un animal,Fauna Picture,Photo d'animal,야생 동물 사진,生き物の写し絵,«Фауна»,Collectie 'Dieren',Immagine di un animale,Tier-Foto,生物的照片,生物的照片,Photo d'animal,Foto de un animal,Fauna Picture
Obj_Photo_BossEnemy,Foto de un jefe,Elite Enemy Picture,Photo d'ennemi fort,강적 사진,強敵の写し絵,«Боссы»,Collectie 'Eindbazen',Immagine di mostro forte,Bossgegner-Foto,强敌的照片,強敵的照片,Photo d'ennemi fort,Foto de un jefe,Elite Enemy Picture
Obj_Photo_Enemy,Foto de un monstruo,Enemy Picture,Photo de monstre,몬스터 사진,魔物の写し絵,«Враги»,Collectie 'Vijanden',Immagine di un mostro,Monster-Foto,怪物的照片,怪物的照片,Photo de monstre,Foto de un monstruo,Enemy Picture
Obj_Photo_Material,Foto de material,Material Picture,Photo de matériau,소재 사진,素材の写し絵,«Материалы»,Collectie 'Ingrediënten',Immagine di un materiale,Zutaten-Foto,材料的照片,材料的照片,Photo de matériau,Foto de material,Material Picture
Obj_Photo_Other,Foto de un tesoro,Other Picture,Photo de trésor,보물 사진,お宝の写し絵,«Прочее»,Collectie 'Diversen',Immagine di un tesoro,Schatz-Foto,宝物的照片,寶物的照片,Photo de trésor,Foto de un tesoro,Other Picture
Obj_Photo_Weapon,Foto de un arma,Weapon Picture,Photo d'arme,무기 사진,武器の写し絵,«Оружие»,Collectie 'Wapens',Immagine di un'arma,Waffen-Foto,武器的照片,武器的照片,Photo d'arme,Foto de un arma,Weapon Picture
Obj_ProofKorok,Semilla de Obab,Hestu's Gift,Noix de Noïa,보쿠린 열매,ボックリンのミ,Подарок Эсту,Hestu's beloning,Seme di Castonne,Maronus’ Samen,伯库林的果实,伯庫林的果實,Noix de Noïa,Semilla de Obab,Hestu's Gift
Obj_SageSoulPlus_Gerudo,"Pacto eterno con Riju, sabia del trueno","Solemn Vow of Riju, Sage of Lightning","Serment éternel de Riju, Sage de la foudre",번개의 현자 루쥬와의 굳은 맹약,雷の賢者 ルージュとの固い盟約,"Верная клятва Риджу, Мудреца грома","Eeuwige eed van Riju, Wijze van de Bliksem","Patto saldo con Riju, saggia del fulmine","Tiefer Schwur von Riju, Weise des Donners",和雷之贤者露珠的牢固盟约,和雷之賢者露珠的牢固盟約,"Serment éternel de Riju, Sage de la foudre","Pacto eterno con Riju, sabia del trueno","Solemn Vow of Riju, Sage of Lightning"
Obj_SageSoulPlus_Goron,"Pacto eterno con Yunobo, sabio del fuego","Solemn Vow of Yunobo, Sage of Fire","Serment éternel de Yunobo, Sage du feu",화염의 현자 윤돌과의 굳은 맹약,炎の賢者 ユン坊との固い盟約,"Верная клятва Юнобо, Мудреца огня","Eeuwige eed van Yunobo, Wijze van het Vuur","Patto saldo con Yunobo, saggio del fuoco","Tiefer Schwur von Yunobo, Weiser des Feuers",和火之贤者阿沅的牢固盟约,和火之賢者阿沅的牢固盟約,"Serment éternel de Yunobo, Sage du feu","Pacto eterno con Yunobo, sabio del fuego","Solemn Vow of Yunobo, Sage of Fire"
